Name	Profile	Action	Override	Direction	Program	Local Address	Remote Address	Protocol	Local Port	Remote Port	Authorized Users	Authorized Computers	Authorized Local Principals	Local User Owner	PolicyAppId	Application Package	Group	Status	
Core Networking - Router Solicitation (ICMPv6-In)	All	Allow	No	Inbound	System	Any	Any	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	Core Networking	OK	
Core Networking - Time Exceeded (ICMPv6-In)	All	Allow	No	Inbound	System	Any	Any	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	Core Networking	OK	
Delivery Optimization (TCP-In)	All	Allow	No	Inbound	C:\WINDOWS\system32\svchost.exe	Any	Any	TCP	7680	Any	Any	Any	Any	Any	None	Any	Delivery Optimization	OK	
Delivery Optimization (UDP-In)	All	Allow	No	Inbound	C:\WINDOWS\system32\svchost.exe	Any	Any	UDP	7680	Any	Any	Any	Any	Any	None	Any	Delivery Optimization	OK	
Desktop App Web Viewer	All	Allow	No	Inbound	Any	Any	Any	Any	Any	Any	Any	Any	Any	NT AUTHORITY\SYSTEM	None	Microsoft.Win32WebViewHost_cw5n1h2txyewy	Desktop App Web Viewer	OK	
Dropbox promotion	All	Allow	No	Inbound	Any	Any	Any	Any	Any	Any	Any	Any	Any	--ABHAYAPRABHA\aayus	None	C27EB4BA.DropboxOEM_xbfy0k16fey96	Dropbox promotion	OK	
DuckDuckGo Private Browser	All	Allow	No	Inbound	C:\Program Files\WindowsApps\63909DuckDuckGoInc.DuckDuckGoPrivateBrowser_0.103.5.0_x64__qzdjx70tn762j\WindowsBrowser\WebView2\msedgewebview2.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	{78E1CD88-49E3-476E-B926-580E596AD309}	OK	
DuckDuckGo Private Browser	All	Allow	No	Inbound	C:\Program Files\WindowsApps\63909DuckDuckGoInc.DuckDuckGoPrivateBrowser_0.103.5.0_x64__qzdjx70tn762j\WindowsBrowser\WebView2\msedgewebview2.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	{78E1CD88-49E3-476E-B926-580E596AD309}	OK	
File and Printer Sharing (Echo Request - ICMPv4-In)	Public	Allow	No	Inbound	System	Any	Local subnet	ICMPv4	Any	Any	Any	Any	Any	Any	None	Any	File and Printer Sharing	OK	
File and Printer Sharing (Echo Request - ICMPv6-In)	Public	Allow	No	Inbound	System	Any	Local subnet	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	File and Printer Sharing	OK	
File and Printer Sharing (LLMNR-UDP-In)	Public	Allow	No	Inbound	C:\WINDOWS\system32\svchost.exe	Any	Local subnet	UDP	5355	Any	Any	Any	Any	Any	None	Any	File and Printer Sharing	OK	
File and Printer Sharing (NB-Datagram-In)	Public	Allow	No	Inbound	System	Any	Local subnet	UDP	138	Any	Any	Any	Any	Any	None	Any	File and Printer Sharing	OK	
File and Printer Sharing (NB-Name-In)	Public	Allow	No	Inbound	System	Any	Local subnet	UDP	137	Any	Any	Any	Any	Any	None	Any	File and Printer Sharing	OK	
File and Printer Sharing (NB-Session-In)	Public	Allow	No	Inbound	System	Any	Local subnet	TCP	139	Any	Any	Any	Any	Any	None	Any	File and Printer Sharing	OK	
File and Printer Sharing (SMB-In)	Public	Allow	No	Inbound	System	Any	Local subnet	TCP	445	Any	Any	Any	Any	Any	None	Any	File and Printer Sharing	OK	
File and Printer Sharing (Spooler Service - RPC)	Public	Allow	No	Inbound	C:\WINDOWS\system32\spoolsv.exe	Any	Local subnet	TCP	RPC Dynamic Ports	Any	Any	Any	Any	Any	None	Any	File and Printer Sharing	OK	
File and Printer Sharing (Spooler Service - RPC-EPMAP)	Public	Allow	No	Inbound	C:\WINDOWS\system32\svchost.exe	Any	Local subnet	TCP	RPC Endpoint Mapper	Any	Any	Any	Any	Any	None	Any	File and Printer Sharing	OK	
Game Bar	All	Allow	No	Inbound	Any	Any	Any	Any	Any	Any	Any	Any	Any	--ABHAYAPRABHA\aayus	None	Microsoft.XboxGamingOverlay_8wekyb3d8bbwe	Game Bar	OK	
Google Chrome (mDNS-In)	All	Allow	No	Inbound	C:\Program Files\Google\Chrome\Application\chrome.exe	Any	Any	UDP	5353	Any	Any	Any	Any	Any	None	Any	Google Chrome	OK	
HP Smart	All	Allow	No	Inbound	Any	Any	Any	Any	Any	Any	Any	Any	Any	--ABHAYAPRABHA\aayus	None	AD2F1837.HPPrinterControl_v10z8vjag6ke6	HP Smart	OK	
Mail and Calendar	All	Allow	No	Inbound	Any	Any	Any	Any	Any	Any	Any	Any	Any	--ABHAYAPRABHA\aayus	None	microsoft.windowscommunicationsapps_8wekyb3d8bbwe	Mail and Calendar	OK	
mDNS (UDP-In)	Public	Allow	No	Inbound	C:\WINDOWS\system32\svchost.exe	Any	Local subnet	UDP	5353	Any	Any	Any	Any	Any	None	Any	mDNS	OK	
Microsoft Edge (mDNS-In)	All	Allow	No	Inbound	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe	Any	Any	UDP	5353	Any	Any	Any	Any	Any	None	Any	Microsoft Edge	OK	
Microsoft Edge (mDNS-In)	All	Allow	No	Inbound	C:\Program Files (x86)\Microsoft\EdgeWebView\Application\134.0.3124.72\msedgewebview2.exe	Any	Any	UDP	5353	Any	Any	Any	Any	Any	None	Any	Microsoft Edge WebView2 Runtime	OK	
Microsoft Media Foundation Network Source IN [TCP 554]	All	Allow	No	Inbound	C:\WINDOWS\system32\svchost.exe	Any	Local subnet	TCP	554, 8554-8558	Any	Any	Any	Any	Any	None	Any	Microsoft Media Foundation Network Source	OK	
Microsoft Media Foundation Network Source IN [UDP 5004-5009]	All	Allow	No	Inbound	C:\WINDOWS\system32\svchost.exe	Any	Local subnet	UDP	5000-5020	Any	Any	Any	Any	Any	None	Any	Microsoft Media Foundation Network Source	OK	
Microsoft Store	All	Allow	No	Inbound	Any	Any	Any	Any	Any	Any	Any	Any	Any	--ABHAYAPRABHA\aayus	None	Microsoft.WindowsStore_8wekyb3d8bbwe	Microsoft Store	OK	
Microsoft Teams	All	Allow	No	Inbound	C:\Program Files\WindowsApps\MSTeams_24295.605.3225.8804_x64__8wekyb3d8bbwe\ms-teams.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	{78E1CD88-49E3-476E-B926-580E596AD309}	OK	
Microsoft Teams	All	Allow	No	Inbound	C:\Program Files\WindowsApps\MSTeams_24295.605.3225.8804_x64__8wekyb3d8bbwe\ms-teams.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	{78E1CD88-49E3-476E-B926-580E596AD309}	OK	
Microsoft Teams (personal)	All	Allow	No	Inbound	C:\Program Files\WindowsApps\MicrosoftTeams_24124.2402.2858.5617_x64__8wekyb3d8bbwe\msteams.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	{78E1CD88-49E3-476E-B926-580E596AD309}	OK	
Microsoft Teams (personal)	All	Allow	No	Inbound	C:\Program Files\WindowsApps\MicrosoftTeams_24124.2402.2858.5617_x64__8wekyb3d8bbwe\msteams.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	{78E1CD88-49E3-476E-B926-580E596AD309}	OK	
myHP	All	Allow	No	Inbound	Any	Any	Any	Any	Any	Any	Any	Any	Any	--ABHAYAPRABHA\aayus	None	AD2F1837.myHP_v10z8vjag6ke6	myHP	OK	
Network Discovery (LLMNR-UDP-In)	Public	Allow	No	Inbound	C:\WINDOWS\system32\svchost.exe	Any	Local subnet	UDP	5355	Any	Any	Any	Any	Any	None	Any	Network Discovery	OK	
Network Discovery (NB-Datagram-In)	Public	Allow	No	Inbound	System	Any	Local subnet	UDP	138	Any	Any	Any	Any	Any	None	Any	Network Discovery	OK	
Network Discovery (NB-Name-In)	Public	Allow	No	Inbound	System	Any	Local subnet	UDP	137	Any	Any	Any	Any	Any	None	Any	Network Discovery	OK	
Network Discovery (Pub-WSD-In)	Public	Allow	No	Inbound	C:\WINDOWS\system32\svchost.exe	Any	Local subnet	UDP	3702	Any	Any	Any	Any	Any	None	Any	Network Discovery	OK	
Network Discovery (SSDP-In)	Public	Allow	No	Inbound	C:\WINDOWS\system32\svchost.exe	Any	Local subnet	UDP	1900	Any	Any	Any	Any	Any	None	Any	Network Discovery	OK	
Network Discovery (UPnP-In)	Public	Allow	No	Inbound	System	Any	Local subnet	TCP	2869	Any	Any	Any	Any	Any	None	Any	Network Discovery	OK	
Network Discovery (WSD Events-In)	Public	Allow	No	Inbound	System	Any	Local subnet	TCP	5357	Any	Any	Any	Any	Any	None	Any	Network Discovery	OK	
Network Discovery (WSD EventsSecure-In)	Public	Allow	No	Inbound	System	Any	Local subnet	TCP	5358	Any	Any	Any	Any	Any	None	Any	Network Discovery	OK	
Network Discovery (WSD-In)	Public	Allow	No	Inbound	C:\WINDOWS\system32\dashost.exe	Any	Local subnet	UDP	3702	Any	Any	Any	Any	Any	None	Any	Network Discovery	OK	
Network Discovery (WSD-In)	Public	Allow	No	Inbound	C:\WINDOWS\system32\svchost.exe	Any	Local subnet	UDP	3702	Any	Any	Any	Any	Any	None	Any	Network Discovery	OK	
Node.js JavaScript Runtime	Public	Allow	No	Inbound	C:\program files\nodejs\node.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any		OK	
Node.js JavaScript Runtime	Public	Allow	No	Inbound	C:\program files\nodejs\node.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any		OK	
NVIDIA SHIELD Streaming NSS TCP Exception	All	Allow	No	Inbound	C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe	Any	Any	TCP	47984, 47989, 48010	Any	Any	Any	Any	Any	None	Any		OK	
NVIDIA SHIELD Streaming NSS UDP Exception	All	Allow	No	Inbound	C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe	Any	Any	UDP	48010	Any	Any	Any	Any	Any	None	Any		OK	
NVIDIA SHIELD Streaming NvStreamer TCP Exception	All	Allow	No	Inbound	C:\Program Files\NVIDIA Corporation\NvStreamSrv\nvstreamer.exe	Any	Any	TCP	47995	Any	Any	Any	Any	Any	None	Any		OK	
NVIDIA SHIELD Streaming NvStreamer UDP Exception	All	Allow	No	Inbound	C:\Program Files\NVIDIA Corporation\NvStreamSrv\nvstreamer.exe	Any	Any	UDP	47995, 47998, 47999, 48000, 48002	Any	Any	Any	Any	Any	None	Any		OK	
NVIDIA SHIELD Streaming SSAS UDP Exception	All	Allow	No	Inbound	C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe	Any	Any	UDP	5353	Any	Any	Any	Any	Any	None	Any		OK	
NVIDIA SHIELD Streaming SSAU UDP Exception	All	Allow	No	Inbound	C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe	Any	Any	UDP	47998	Any	Any	Any	Any	Any	None	Any		OK	
OMEN Gaming Hub	All	Allow	No	Inbound	C:\Program Files\WindowsApps\AD2F1837.OMENCommandCenter_1101.2502.11.0_x64__v10z8vjag6ke6\OmenCommandCenterApp\HP.Omen.OmenCommandCenter.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	{78E1CD88-49E3-476E-B926-580E596AD309}	OK	
OMEN Gaming Hub	All	Allow	No	Inbound	C:\Program Files\WindowsApps\AD2F1837.OMENCommandCenter_1101.2502.11.0_x64__v10z8vjag6ke6\OmenCommandCenterApp\HP.Omen.OmenCommandCenter.exe	Any	Any	TCP	Any	9084	Any	Any	Any	Any	None	Any	{78E1CD88-49E3-476E-B926-580E596AD309}	OK	
OMEN Gaming Hub	All	Allow	No	Inbound	C:\Program Files\WindowsApps\AD2F1837.OMENCommandCenter_1101.2502.11.0_x64__v10z8vjag6ke6\OmenCommandCenterApp\HP.Omen.OmenCommandCenter.exe	Any	Any	TCP	Any	9083	Any	Any	Any	Any	None	Any	{78E1CD88-49E3-476E-B926-580E596AD309}	OK	
OMEN Gaming Hub	All	Allow	No	Inbound	C:\Program Files\WindowsApps\AD2F1837.OMENCommandCenter_1101.2502.11.0_x64__v10z8vjag6ke6\OmenCommandCenterApp\HP.Omen.OmenCommandCenter.exe	Any	Any	TCP	Any	9080	Any	Any	Any	Any	None	Any	{78E1CD88-49E3-476E-B926-580E596AD309}	OK	
OMEN Gaming Hub	All	Allow	No	Inbound	C:\Program Files\WindowsApps\AD2F1837.OMENCommandCenter_1101.2502.11.0_x64__v10z8vjag6ke6\OmenCommandCenterApp\HP.Omen.OmenCommandCenter.exe	Any	Any	TCP	Any	8883	Any	Any	Any	Any	None	Any	{78E1CD88-49E3-476E-B926-580E596AD309}	OK	
OMEN Gaming Hub	All	Allow	No	Inbound	C:\Program Files\WindowsApps\AD2F1837.OMENCommandCenter_1101.2502.11.0_x64__v10z8vjag6ke6\OmenCommandCenterApp\HP.Omen.OmenCommandCenter.exe	Any	Any	TCP	Any	9082	Any	Any	Any	Any	None	Any	{78E1CD88-49E3-476E-B926-580E596AD309}	OK	
OMEN Gaming Hub	All	Allow	No	Inbound	C:\Program Files\WindowsApps\AD2F1837.OMENCommandCenter_1101.2502.11.0_x64__v10z8vjag6ke6\OmenCommandCenterApp\HP.Omen.OmenCommandCenter.exe	Any	Any	TCP	Any	9081	Any	Any	Any	Any	None	Any	{78E1CD88-49E3-476E-B926-580E596AD309}	OK	
OMEN Gaming Hub	All	Allow	No	Inbound	C:\Program Files\WindowsApps\AD2F1837.OMENCommandCenter_1101.2502.11.0_x64__v10z8vjag6ke6\OmenCommandCenterApp\OmenCommandCenterBackground.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	{78E1CD88-49E3-476E-B926-580E596AD309}	OK	
opera.exe	Public	Allow	No	Inbound	C:\users\aayus\appdata\local\programs\opera\opera.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any		OK	
opera.exe	Public	Allow	No	Inbound	C:\users\aayus\appdata\local\programs\opera\opera.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any		OK	
SNMP Service (UDP In)	Private, Public	Allow	No	Inbound	C:\WINDOWS\system32\snmp.exe	Any	Local subnet	UDP	161	Any	Any	Any	Any	Any	None	Any	SNMP Service	OK	
Tenorshare 4DDiG	All	Allow	No	Inbound	C:\Program Files (x86)\Tenorshare\Tenorshare 4DDiG\Tenorshare 4DDiG.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any		OK	
Tenorshare 4DDiG_DataRecoveryService	All	Allow	No	Inbound	C:\Program Files (x86)\Tenorshare\Tenorshare 4DDiG\DataRecoveryService.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any		OK	
Tenorshare 4DDiG_DataScanService	All	Allow	No	Inbound	C:\Program Files (x86)\Tenorshare\Tenorshare 4DDiG\DataScanService.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any		OK	
Tenorshare 4DDiG_DeviceViewerService	All	Allow	No	Inbound	C:\Program Files (x86)\Tenorshare\Tenorshare 4DDiG\DeviceViewerService.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any		OK	
Tenorshare 4DDiG_MsgSupportService	All	Allow	No	Inbound	C:\Program Files (x86)\Tenorshare\Tenorshare 4DDiG\MsgSupport\MsgSupportService.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any		OK	
Tenorshare 4DDiG_NetFrameCheck	All	Allow	No	Inbound	C:\Program Files (x86)\Tenorshare\Tenorshare 4DDiG\NetFrameCheck.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any		OK	
Tenorshare 4DDiG_ParseRecord	All	Allow	No	Inbound	C:\Program Files (x86)\Tenorshare\Tenorshare 4DDiG\ParseRecord.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any		OK	
Tenorshare 4DDiG_preuninstall	All	Allow	No	Inbound	C:\Program Files (x86)\Tenorshare\Tenorshare 4DDiG\preuninstall.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any		OK	
Tenorshare 4DDiG_UpdateService	All	Allow	No	Inbound	C:\Program Files (x86)\Tenorshare\Tenorshare 4DDiG\UpdateService.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any		OK	
Tenorshare_steup1.0.0.1	Public	Allow	No	Inbound	C:\Users\aayus\AppData\Local\Temp\MicrosoftEdgeDownloads\01b50e78-12d5-4f35-b15f-102fb7533276\4ddig-for-windows.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any		OK	
Tenorshare_steup1.0.0.1	Public	Allow	No	Inbound	C:\Users\aayus\AppData\Local\Temp\MicrosoftEdgeDownloads\01b50e78-12d5-4f35-b15f-102fb7533276\4ddig-for-windows.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any		OK	
Visual Studio Code	Public	Allow	No	Inbound	C:\users\aayus\appdata\local\programs\microsoft vs code\code.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any		OK	
Visual Studio Code	Public	Allow	No	Inbound	C:\users\aayus\appdata\local\programs\microsoft vs code\code.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any		OK	
WFD ASP Coordination Protocol (UDP-In)	All	Allow	No	Inbound	C:\WINDOWS\system32\svchost.exe	Any	Local subnet	UDP	7235	7235	Any	Any	Any	Any	None	Any	WLAN Service - WFD Application Services Platform Coordination Protocol (Uses UDP)	OK	
Wireless Display Infrastructure Back Channel (TCP-In)	All	Allow	No	Inbound	C:\WINDOWS\system32\CastSrv.exe	Any	Any	TCP	7250	Any	Any	Any	Any	Any	None	Any	Wireless Display	OK	
